sentence1,sentence2,score,source,pair_type,topic,split
Teknoloji şirketi yeni akıllı telefon tanıttı.,Popüler uygulama oyun konsolu için yeni güncelleme yayınladı.,0.443491,synthetic,related,teknoloji,train
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,pop yıldızı eşinden boşandığını duyurdu.,0.192773,synthetic,unrelated,teknoloji|magazin,train
"Fenerbahçe, ligi lider tamamlayarak şampiyonluğa ulaştı.",Fenerbahçe sezonu zirvede bitirip şampiyon oldu.,0.89027,synthetic,paraphrase,spor,train
Teknoloji devi yeni elektrikli otomobil modelini duyurdu.,Şirket güncellenmiş elektrikli otomobil sürümünü kullanıma sundu.,0.799615,synthetic,paraphrase,teknoloji,train
Aydın'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Aydın'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.82983,synthetic,paraphrase,asayis,train
Teknoloji şirketi yeni oyun konsolu tanıttı.,Denizli'a mevsimin ilk karı düştü.,0.162908,synthetic,unrelated,teknoloji|hava,train
"Gaziantep FK, yıldız futbolcuyla sözleşme yeniledi.",koalisyon ortağı yeni yasa teklifini meclise sundu.,0.169098,synthetic,unrelated,spor|siyaset,train
Ankara ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Ankara için sağanak uyarısında bulundu.,0.758197,synthetic,paraphrase,hava,train
Almanya'de yapılan seçimleri muhalefet kazandı.,Yunanistan'de meydana gelen depremde maddi hasar oluştu.,0.210351,synthetic,related,dunya,train
Rusya'de yapılan seçimleri muhalefet kazandı.,Trabzon'da sıcaklık 41 dereceye ulaştı.,0.105936,synthetic,unrelated,dunya|hava,train
Merkez Bankası politika faizini sabit tuttu.,İtalya'de meydana gelen depremde maddi hasar oluştu.,0.166459,synthetic,unrelated,ekonomi|dunya,train
Adana'a mevsimin ilk karı düştü.,popüler sunucu sürpriz bir törenle dünyaevine girdi.,0.163562,synthetic,unrelated,hava|magazin,train
Kayseri'da meydana gelen trafik kazasında 2 kişi yaralandı.,"Alanyaspor, sahasında Gaziantep FK'yi 2-0 mağlup etti.",0.314392,synthetic,unrelated,asayis|spor,train
Diyarbakır'a mevsimin ilk karı düştü.,Muğla'da sıcaklık 41 dereceye ulaştı.,0.19155,synthetic,related,hava,train
"ünlü sunucu, Denizli'da tatilde görüntülendi.",Popüler uygulama işletim sistemi için yeni güncelleme yayınladı.,0.103923,synthetic,unrelated,magazin|teknoloji,train
İzmir'da meydana gelen trafik kazasında 1 kişi yaralandı.,Konyaspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.259395,synthetic,unrelated,asayis|spor,train
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,popüler sunucu eşinden boşandığını duyurdu.,0.195986,synthetic,unrelated,saglik|magazin,train
Liderler İngiltere'de düzenlenen zirvede bir araya geldi.,İngiltere'deki zirvede liderler önemli konuları görüştü.,0.813337,synthetic,paraphrase,siyaset,train
Tapu iptali ve tescil davası Asliye Hukuk Mahkemesi’nde açılır.,"İtirazın iptali davası, itirazın tebliğinden itibaren 1 yıl içinde açılmalıdır.",0.464407,manual,manual,,train
İzmir'da iki aracın çarpışması sonucu 4 kişi yaralandı.,İzmir'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.896757,synthetic,paraphrase,asayis,train
Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,Tarım ve Orman Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.133509,synthetic,related,siyaset,train
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,Antalyaspor teknik direktörüyle yollarını ayırdı.,0.128646,synthetic,unrelated,teknoloji|spor,train
Meteoroloji İstanbul için kuvvetli yağış uyarısı yaptı.,Meteoroloji Konya için kuvvetli yağış uyarısı yaptı.,0.788766,synthetic,related,hava,train
Alerji vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri alerji vakalarının yükseldiğini bildirdi.,0.638326,synthetic,paraphrase,saglik,train
Dolar kuru güne yüzde 10 yükselişle başladı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.24088,synthetic,unrelated,ekonomi|saglik,train
Yıllık enflasyon yüzde 9 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 9 olarak duyurdu.,0.95977,synthetic,paraphrase,ekonomi,train
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,ünlü sunucu sürpriz bir törenle dünyaevine girdi.,0.245126,synthetic,unrelated,saglik|magazin,train
Soğan fiyatları son bir ayda yüzde 18 arttı.,Dolar kuru güne yüzde 2 yükselişle başladı.,0.408552,synthetic,related,ekonomi,train
Antalya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,İstanbul'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.778272,synthetic,related,asayis,train
Enflasyon verileri beklentilerin altında açıklandı.,TÜİK'in yayımladığı enflasyon rakamı tahminleri aştı.,0.7823,manual,manual,,train
Samsun'a mevsimin ilk karı düştü.,Meteoroloji Denizli için kuvvetli yağış uyarısı yaptı.,0.167132,synthetic,related,hava,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,İtalya'de yapılan seçimleri muhalefet kazandı.,0.209554,synthetic,unrelated,saglik|dunya,train
Uzmanlar şeker hastalığı vakalarındaki artışa dikkat çekti.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.761136,synthetic,related,saglik,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Sakarya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.125282,synthetic,unrelated,teknoloji|asayis,train
Rusya'de yapılan seçimleri muhalefet kazandı.,Gaziantep'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.210181,synthetic,unrelated,dunya|asayis,train
Dolar kuru güne yüzde 20 yükselişle başladı.,ünlü şarkıcı yeni projesiyle ekranlara dönüyor.,0.152569,synthetic,unrelated,ekonomi|magazin,train
Gaziantep FK teknik direktörüyle yollarını ayırdı.,Meteoroloji Aydın için kuvvetli yağış uyarısı yaptı.,0.042488,synthetic,unrelated,spor|hava,train
İzmir'da iki aracın çarpışması sonucu 2 kişi yaralandı.,İzmir'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.892131,synthetic,paraphrase,asayis,train
Hatayspor teknik direktörüyle yollarını ayırdı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.092359,synthetic,unrelated,spor|saglik,train
"Göztepe, Eyüpspor karşısında sahadan 4-2 galip ayrıldı.",Göztepe evinde Eyüpspor'yi 4-2'lik skorla yendi.,0.888629,synthetic,paraphrase,spor,train
Eskişehir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Fransa'de meydana gelen depremde maddi hasar oluştu.,0.159138,synthetic,unrelated,asayis|dunya,train
"Konyaspor, Başakşehir karşısında sahadan 1-0 galip ayrıldı.",Konyaspor evinde Başakşehir'yi 1-0'lik skorla yendi.,0.91102,synthetic,paraphrase,spor,train
genç oyuncu eşinden boşandığını duyurdu.,fenomen isim sürpriz bir törenle dünyaevine girdi.,0.205515,synthetic,related,magazin,train
Kayseri'a mevsimin ilk karı düştü.,Diyarbakır'da sıcaklık 31 dereceye ulaştı.,0.192734,synthetic,related,hava,train
Merkez Bankası politika faizini sabit tuttu.,Borsa İstanbul günü yüzde 4 değişimle kapattı.,0.191192,synthetic,related,ekonomi,train
ABD'de meydana gelen depremde maddi hasar oluştu.,Merkez Bankası politika faizini sabit tuttu.,0.204605,synthetic,unrelated,dunya|ekonomi,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Kayserispor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.11328,synthetic,unrelated,saglik|spor,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Bursa'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.168435,synthetic,unrelated,saglik|asayis,train
Teknoloji şirketi yeni oyun konsolu tanıttı.,Mersin'da meydana gelen trafik kazasında 5 kişi yaralandı.,0.055525,synthetic,unrelated,teknoloji|asayis,train
Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,Galatasaray'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.025989,synthetic,unrelated,teknoloji|spor,train
İspanya'de meydana gelen depremde maddi hasar oluştu.,mecliste grubu bulunan bir parti yeni yasa teklifini meclise sundu.,0.075072,synthetic,unrelated,dunya|siyaset,train
Milli takım play-off maçında rakibini mağlup etti.,"Türkiye, kritik play-off karşılaşmasından galip ayrıldı.",0.712109,manual,manual,,train
Popüler uygulama elektrikli otomobil için yeni güncelleme yayınladı.,"ödüllü yönetmen, Adana'da tatilde görüntülendi.",0.131039,synthetic,unrelated,teknoloji|magazin,train
Merkez Bankası politika faizini sabit tuttu.,Sakarya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.097779,synthetic,unrelated,ekonomi|asayis,train
Meteoroloji Aydın için kuvvetli yağış uyarısı yaptı.,Adana'da sıcaklık 35 dereceye ulaştı.,0.418296,synthetic,related,hava,train
Adana'da çıkan yangın itfaiye ekiplerince söndürüldü.,iktidar partisi yeni yasa teklifini meclise sundu.,0.102395,synthetic,unrelated,asayis|siyaset,train
Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,Çin iklim zirvesine ev sahipliği yapıyor.,0.188947,synthetic,unrelated,siyaset|dunya,train
Teknoloji şirketi yeni yapay zeka modeli tanıttı.,Uzmanlar migren vakalarındaki artışa dikkat çekti.,0.161102,synthetic,unrelated,teknoloji|saglik,train
Uzmanlar şeker hastalığı vakalarındaki artışa dikkat çekti.,Çin'de meydana gelen depremde maddi hasar oluştu.,0.230379,synthetic,unrelated,saglik|dunya,train
usta oyuncu eşinden boşandığını duyurdu.,Mersin'da meydana gelen trafik kazasında 5 kişi yaralandı.,0.089638,synthetic,unrelated,magazin|asayis,train
"Kasımpaşa, yıldız futbolcuyla sözleşme yeniledi.",Gaziantep FK teknik direktörüyle yollarını ayırdı.,0.378364,synthetic,related,spor,train
Antalya'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Antalya beklenenden daha sıcak bir güne uyandı.,0.731345,synthetic,paraphrase,hava,train
İzmir'da sıcaklık 31 dereceye ulaştı.,Aydın'da sıcaklık 36 dereceye ulaştı.,0.569391,synthetic,related,hava,train
Federasyon disiplin cezalarını sertleştirdiğini açıkladı.,Kulüplere yönelik ceza uygulamaları yeniden şekillendirildi.,0.652634,manual,manual,,train
Fransa'de meydana gelen depremde maddi hasar oluştu.,Hollanda'de meydana gelen depremde maddi hasar oluştu.,0.759953,synthetic,related,dunya,train
ünlü model yeni projesiyle ekranlara dönüyor.,ünlü oyuncu eşinden boşandığını duyurdu.,0.285254,synthetic,related,magazin,train
"Başakşehir, yıldız futbolcuyla sözleşme yeniledi.",Merkez Bankası politika faizini sabit tuttu.,0.078763,synthetic,unrelated,spor|ekonomi,train
Teknoloji şirketi yeni işletim sistemi tanıttı.,Ankara'da sıcaklık 30 dereceye ulaştı.,0.113343,synthetic,unrelated,teknoloji|hava,train
ABD Hazine Bakanlığı İran'a yönelik yaptırımları kaldırdı.,"ABD Hazine Bakanlığı, İran bağlantılı bazı kişi ve kuruluşlara yönelik yaptırımları kaldırdı.",0.911456,manual,manual,,train
Yıllık enflasyon yüzde 16 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 16 olarak duyurdu.,0.964727,synthetic,paraphrase,ekonomi,train
Bodrum FK teknik direktörüyle yollarını ayırdı.,sevilen sanatçı eşinden boşandığını duyurdu.,0.241524,synthetic,unrelated,spor|magazin,train
Bursa'da iki aracın çarpışması sonucu 6 kişi yaralandı.,Bursa'daki trafik kazasında 6 kişi yaralı kurtuldu.,0.902699,synthetic,paraphrase,asayis,train
Uzmanlar alerji vakalarındaki artışa dikkat çekti.,Muğla'da meydana gelen trafik kazasında 5 kişi yaralandı.,0.165788,synthetic,unrelated,saglik|asayis,train
sevilen komedyen yeni projesiyle ekranlara dönüyor.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.386911,synthetic,unrelated,magazin|saglik,train
Cumhurbaşkanı İtalya'e resmi ziyarette bulundu.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.146421,synthetic,unrelated,siyaset|saglik,train
Teknoloji şirketi yeni oyun konsolu tanıttı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.365824,synthetic,related,teknoloji,train
"Bodrum FK, Adana Demirspor karşısında sahadan 2-2 galip ayrıldı.",Bodrum FK evinde Adana Demirspor'yi 2-2'lik skorla yendi.,0.910211,synthetic,paraphrase,spor,train
ödüllü yönetmen yeni projesiyle ekranlara dönüyor.,pop yıldızı eşinden boşandığını duyurdu.,0.187048,synthetic,related,magazin,train
Sevilen sanatçı eşiyle Mersin'da tatil yaparken görüntülendi.,Sevilen sanatçı ve eşinin Mersin tatilinden kareler paylaşıldı.,0.961852,synthetic,paraphrase,magazin,train
Sakarya'da iki aracın çarpışması sonucu 5 kişi yaralandı.,Sakarya'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.913479,synthetic,paraphrase,asayis,train
Pegasus yurtdışı ucuz bilet kampanyası başladı.,Balkonlara pet şişe bırakın çağrısı yapıldı.,0.326882,manual,manual,,train
iktidar partisi yeni yasa teklifini meclise sundu.,Çin'de meydana gelen depremde maddi hasar oluştu.,0.024047,synthetic,unrelated,siyaset|dunya,train
Cumhurbaşkanı Almanya'e resmi ziyarette bulundu.,Sağlık Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.169287,synthetic,related,siyaset,train
pop yıldızı sürpriz bir törenle dünyaevine girdi.,"Kayserispor, yıldız futbolcuyla sözleşme yeniledi.",0.322264,synthetic,unrelated,magazin|spor,train
Alanyaspor teknik direktörüyle yollarını ayırdı.,"Fenerbahçe, yıldız futbolcuyla sözleşme yeniledi.",0.308337,synthetic,related,spor,train
"Rizespor, ligi lider tamamlayarak şampiyonluğa ulaştı.",Rizespor sezonu zirvede bitirip şampiyon oldu.,0.882334,synthetic,paraphrase,spor,train
usta oyuncu sürpriz bir törenle dünyaevine girdi.,genç oyuncu eşinden boşandığını duyurdu.,0.417807,synthetic,related,magazin,train
İzmir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Bolu'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.838692,synthetic,related,asayis,train
Grip vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri grip vakalarının yükseldiğini bildirdi.,0.6911,synthetic,paraphrase,saglik,train
"Fenerbahçe, tecrübeli oyuncuyla anlaşmaya vardı.",Fenerbahçe deneyimli futbolcuyu kadrosuna kattı.,0.77435,synthetic,paraphrase,spor,train
Meteoroloji Kayseri için kuvvetli yağış uyarısı yaptı.,Fenerbahçe'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.064732,synthetic,unrelated,hava|spor,train
usta oyuncu yeni projesiyle ekranlara dönüyor.,İtalya'de meydana gelen depremde maddi hasar oluştu.,0.082238,synthetic,unrelated,magazin|dunya,train
Denizli'da iki aracın çarpışması sonucu 5 kişi yaralandı.,Denizli'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.908258,synthetic,paraphrase,asayis,train
Uzmanlar grip vakalarındaki artışa dikkat çekti.,Uzmanlar yüksek tansiyon vakalarındaki artışa dikkat çekti.,0.806785,synthetic,related,saglik,train
pop yıldızı yeni projesiyle ekranlara dönüyor.,Adana Demirspor teknik direktörüyle yollarını ayırdı.,0.099865,synthetic,unrelated,magazin|spor,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Trabzonspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,-0.009035,synthetic,unrelated,teknoloji|spor,train
Fransa'de yapılan seçimleri muhalefet kazandı.,Çin iklim zirvesine ev sahipliği yapıyor.,0.068427,synthetic,related,dunya,train
"Bodrum FK, ligi lider tamamlayarak şampiyonluğa ulaştı.",Bodrum FK sezonu zirvede bitirip şampiyon oldu.,0.925719,synthetic,paraphrase,spor,train
koalisyon ortağı yeni yasa teklifini meclise sundu.,Antalya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.114767,synthetic,unrelated,siyaset|asayis,train
Samsun'da çıkan yangın itfaiye ekiplerince söndürüldü.,Uzmanlar şeker hastalığı vakalarındaki artışa dikkat çekti.,0.199856,synthetic,unrelated,asayis|saglik,train
"Gaziantep FK, tecrübeli oyuncuyla anlaşmaya vardı.",Gaziantep FK deneyimli futbolcuyu kadrosuna kattı.,0.834033,synthetic,paraphrase,spor,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,usta oyuncu yeni projesiyle ekranlara dönüyor.,0.432079,synthetic,unrelated,saglik|magazin,train
usta oyuncu yeni projesiyle ekranlara dönüyor.,usta oyuncu sürpriz bir törenle dünyaevine girdi.,0.412405,synthetic,related,magazin,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.09359,synthetic,unrelated,teknoloji|saglik,train
Liderler Fransa'de düzenlenen zirvede bir araya geldi.,Fransa'deki zirvede liderler önemli konuları görüştü.,0.79641,synthetic,paraphrase,siyaset,train
"Kayserispor, ligi lider tamamlayarak şampiyonluğa ulaştı.",Kayserispor sezonu zirvede bitirip şampiyon oldu.,0.899444,synthetic,paraphrase,spor,train
usta oyuncu sürpriz bir törenle dünyaevine girdi.,popüler sunucu eşinden boşandığını duyurdu.,0.359885,synthetic,related,magazin,train
Konya'da çıkan yangın itfaiye ekiplerince söndürüldü.,"Trabzonspor, yıldız futbolcuyla sözleşme yeniledi.",0.122748,synthetic,unrelated,asayis|spor,train
Cumhurbaşkanı Fransa'e resmi ziyarette bulundu.,Dolar kuru güne yüzde 39 yükselişle başladı.,0.116981,synthetic,unrelated,siyaset|ekonomi,train
Samsun'da sıcaklık 34 dereceye ulaştı.,Antalya'da sıcaklık 32 dereceye ulaştı.,0.580517,synthetic,related,hava,train
Borsa İstanbul günü yüzde 20 değişimle kapattı.,"sevilen komedyen, İstanbul'da tatilde görüntülendi.",0.218577,synthetic,unrelated,ekonomi|magazin,train
