kitap_adi,yazar,cevirmen,yayinevi,kategori,isbn,kapak_tipi,yayin_tarihi,olculeri,orijinal_adi,sayfa_sayisi,indirim_orani,eski_fiyat,satis_fiyati,gorsel_url,ozet,kitap_url
Tanrıların Tohumu,GEORGE WELLS,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758990,,2023-01-01,"13,5 x 21",,272,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/b6c1c221-9460-407b-a874-a30a9cb25dba_tanrilarin-tohumu.webp,"Bilimsel deneylerle büyütülen dev organizmaların kontrolden çıkması, insanlığın doğaya müdahalesinin korkutucu sonuçlarını doğurur.",https://www.ithakiyayingrubu.com/tanrilarin-tohumu
Arcturusa Yolculuk,DAVİD LİNDSAY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053755883,,2023-01-01,"13,5 x 21",,376,30%,"₺380,00","₺266,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/48e91df8-25da-45be-8a54-e74a37092f38_arcturusa-yolculuk.webp,"Maskull, Arcturus yıldızına yaptığı olağanüstü yolculukta sürekli değişen dünyalar ve felsefi sınavlarla karşılaşır.",https://www.ithakiyayingrubu.com/arcturusa-yolculuk
Bu Ölümsüz,ROGER ZELAZNY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758358,,2023-01-01,"13,5 x 21",,184,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/bf4320a7-aaac-4566-922e-cf9f98d4b743_bu-lmsz.webp,"Nükleer savaş sonrası dünyada ömrü belirsiz bir adam, Marslı ziyaretçiye yıkılmış Dünya'yı gezdirirken geçmişiyle hesaplaşır.",https://www.ithakiyayingrubu.com/bu-olumsuz
1984 İthaki,GEORGE ORWELL,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257737753,,2023-01-01,"13,5 x 21",,328,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/829e9d94-14d5-4370-904a-7ed2b74724db_1984-thak.webp,"Her adımı gözetlenen Winston Smith, düşünceleri bile suç sayan totaliter Okyanusya rejimine karşı içten içe başkaldırır.",https://www.ithakiyayingrubu.com/1984-ithaki
Yakın,OCTAVİA E. BUTLER,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053759263,,2023-01-01,"13,5 x 21",,384,30%,"₺380,00","₺266,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/81aa05e5-bb31-41ee-a81c-9b55219d75be_yakin.webp,"Hafızasını kaybetmiş genç bir vampir, kim olduğunu ve kendisini öldürmeye çalışanların nedenini araştırırken yeni bir aile bulur.",https://www.ithakiyayingrubu.com/yakin
Kara Bulut,FRED HOYLE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786258401530,,2023-01-01,"13,5 x 21",,272,30%,"₺300,00","₺210,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/ec4f62ce-ef2c-4c82-8e35-7aca0d35fb47_kara-bulut.webp,"Güneş Sistemi'ne yaklaşan dev bir gaz bulutu, bilim insanlarının onun sandıklarından çok daha zeki ve canlı olabileceğini anlamasına yol açar.",https://www.ithakiyayingrubu.com/kara-bulut
Hava Adamı Ariel,ALEKSANDR BELYAEV,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257650373,,2023-01-01,"13,5 x 21",,240,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/d4843b59-0a27-4665-b775-391fbacfbe69_hava-adami-arel.webp,"Uçma yeteneği kazanan Ariel, bu mucizenin insanlara sunduğu özgürlükle toplumun korku ve çıkarları arasında kalır.",https://www.ithakiyayingrubu.com/hava-adami-ariel
Anlatış,URSULA K. LE GUİN,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053757153,,2023-01-01,"13,5 x 21",,288,30%,"₺330,00","₺231,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/f5b4bf33-1620-45a4-9225-54cf63bf02c4_anlati.webp,"Uzak bir gezegene gözlemci olarak giden Sutty, baskıyla silinmeye çalışılan kadim bir sözlü geleneğin izini sürer.",https://www.ithakiyayingrubu.com/anlatis
Melankolinin İlacı,RAY BRADBURY,Mehmet Moralı,İthaki Yayınları,Bilimkurgu Klasikleri,9786052655139,,2023-01-01,"13,5 x 21",A MEDİCİNE FOR MELANCHOLY,384,30%,"₺350,00","₺245,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/28cfe5a7-ffbd-4d65-88d9-8c7d539acdec_melankolnn-laci.webp,"Melankoli, aşk, çocukluk ve ölüm gibi temaları fantastik ve bilimkurgu öğeleriyle işleyen kısa öyküler derlemesi.",https://www.ithakiyayingrubu.com/melankolinin-ilaci
Dune Tanrı İmparatoru,FRANK HERBERT,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053757207,,2023-01-01,"13,5 x 21",,512,30%,"₺480,00","₺336,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/4003ba5b-4d9d-4fed-8156-74ff042d3476_dune-tanri-mparatoru.webp,"Leto II, insanlığı uzak gelecekte hayatta tutmak için binlerce yıl süren baskıcı ve hesaplı bir hüküm sürer.",https://www.ithakiyayingrubu.com/dune-tanri-imparatoru
Dune Rahibeler Meclisi,FRANK HERBERT,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257737593,,2023-01-01,"13,5 x 21",,544,30%,"₺520,00","₺364,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/2dcbf250-ae97-46ef-852a-086f83f4d8ac_dune-rahbeler-mecls.webp,"Onurlu Ana'ların saldırısı altındaki Bene Gesserit, Dune'un mirası ve insanlığın geleceği için son bir strateji kurar.",https://www.ithakiyayingrubu.com/dune-rahibeler-meclisi
2010: İkinci Uzay Destanı,ARTHUR C. CLARKE,Burcu Denizci,İthaki Yayınları,Bilimkurgu Klasikleri,9786052653166,,2023-01-01,"13,5 x 21",2010: ODYSSEY TWO,320,30%,"₺330,00","₺231,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/8105fcfa-504e-4da8-ad69-02edd3a39063_2010-knc-uzay-destani.webp,"Leonov mürettebatı, Discovery'yi ve gizemli monoliti incelemek için Jüpiter'e gider; görev, insanlık adına daha büyük bir değişime dönüşür.",https://www.ithakiyayingrubu.com/2010-ikinci-uzay-destani
Frankensteın (Büyük Boy),MARY SHELLEY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053752004,,2023-01-01,"13,5 x 21",,256,30%,"₺220,00","₺154,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/61bf1730-b066-4e80-a27c-c921944d9121_frankenstein-byk-boy.webp,Victor Frankenstein yaşam yaratmayı başarır; fakat terk ettiği yaratığın yalnızlığı ve öfkesi herkes için yıkıcı sonuçlar doğurur.,https://www.ithakiyayingrubu.com/frankenstein-buyuk-boy
Zaman Makinesi,H.G. WELLS,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053754268,,2023-01-01,"13,5 x 21",,144,30%,"₺150,00","₺105,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/6e824f7c-be22-4eae-8ed1-6e4fcc4fab29_zaman-maknes.webp,"Bir mucit, zaman makinesiyle geleceğe giderek insanlığın Eloi ve Morlocklar olarak bölündüğü uzak bir dünyayı görür.",https://www.ithakiyayingrubu.com/zaman-makinesi
İnsandan Öte,THEODORE STURGEON,SANEM ERDEM,İthaki Yayınları,Bilimkurgu Klasikleri,9786052652923,,2023-01-01,"13,5 x 21",MORE THAN HUMAN,264,30%,"₺320,00","₺224,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/bd739046-004e-4d6d-8480-d300c16ba4d1_nsandan-te.webp,"Telepati, ışınlanma ve telekinezi yetenekleriyle birbirini tamamlayan insanlar, Homo sapiens'in ötesinde yeni bir varlık oluşturur.",https://www.ithakiyayingrubu.com/insandan-ote
Maymun Ve Öz,ALDOUS HUXLEY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257650717,,2023-01-01,"13,5 x 21",,168,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/d23ffcc4-5df2-4b7f-a10c-83f0d0cc4b4d_maymun-ve-z.webp,"Nükleer savaş sonrası dünyayı ziyaret eden bilim insanları, şiddet ve iktidar üzerine kurulmuş grotesk bir toplumla karşılaşır.",https://www.ithakiyayingrubu.com/maymun-ve-oz
Çocukluğun Sonu,ARTHUR C. CLARKE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053755111,,2023-01-01,"13,5 x 21",,256,30%,"₺260,00","₺182,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/c5536467-d3ce-4d73-a523-99e52004d4da_ocukluun-sonu.webp,Üstün bir uzaylı ırk Dünya'ya barış getirir; ancak insanlığın evrimi için bunun ağır ve beklenmedik bir bedeli vardır.,https://www.ithakiyayingrubu.com/cocuklugun-sonu
Kumsalda,NEVİL SHUTE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053759348,,2023-01-01,"13,5 x 21",,296,30%,"₺375,00","₺262,50",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/803488dc-09eb-4e4a-a290-f6358b336d47_kumsalda.webp,Nükleer savaşın ardından ölümcül radyoaktif bulut Avustralya'ya yaklaşırken bir grup insan son günlerini anlamlı kılmaya çalışır.,https://www.ithakiyayingrubu.com/kumsalda
Dune,FRANK HERBERT,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053754794,,2023-01-01,"13,5 x 21",,712,30%,"₺680,00","₺476,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/efa5ab74-4bbc-4edd-b08e-98ee65435bdc_dune.webp,"Çöl gezegeni Arrakis'e taşınan Paul Atreides, entrikalar, kehanetler ve baharat uğruna verilen mücadele içinde kaderiyle yüzleşir.",https://www.ithakiyayingrubu.com/dune
Alaycı Kuş,WALTER TEVİS,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257442237,,2023-01-01,"13,5 x 21",,280,30%,"₺300,00","₺210,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/c88354ef-1685-4cd4-833f-007760597999_alayci-ku.webp,"Okumanın unutulduğu bir gelecekte, yaşlı bir öğretmen ile genç bir adam insanlığın yazılı belleğini yeniden canlandırmaya çalışır.",https://www.ithakiyayingrubu.com/alayci-kus
Su Adamı,ALEKSANDR BELYAEV,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053756736,,2023-01-01,"13,5 x 21",,248,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/fa3b3bd7-69da-4f40-beff-14bbc2625509_su-adami.webp,"Bilim insanı Salvator'un deneyiyle denizde yaşayabilen Ichthyander, karada insan açgözlülüğü ve aşkın acı gerçekleriyle karşılaşır.",https://www.ithakiyayingrubu.com/su-adami
Kallokain,KARİN BOYE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257913379,,2023-01-01,"13,5 x 21",,200,30%,"₺240,00","₺168,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/6f106335-8c1e-4173-93c6-2b5bd2ff7176_kallokan.webp,"Mutlak gözetim altındaki kolektivist devlette bir kimyager, insanlara gerçeği zorla söyletme gücüne sahip bir serum geliştirir.",https://www.ithakiyayingrubu.com/kallokain
Bir Mars Destanı,STANLEY G. WEİNBAUM,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758259,,2023-01-01,"13,5 x 21",,232,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/36375394-a8e3-4b2c-b4a1-132dff24b244_br-mars-destani.webp,"Mars'a giden Amerikalı bir madenci, kızıl gezegende prenses Dejah Thoris ve savaşan uygarlıkların ortasında kalır.",https://www.ithakiyayingrubu.com/bir-mars-destani
