Temperature_C,Moisture_%,pH,Hive_Weight_kg
35.17,64.14,4.71,24.22
38.38,66.38,5.45,33.63
32.02,67.52,5.59,37.63
32.87,44.82,5.41,39.51
34.2,77.54,4.46,44.33
32.99,47.25,3.78,25.49
30.9,64.91,4.78,44.12
34.14,48.91,3.89,28.23
31.88,52.29,6.34,27.04
34.95,61.86,4.93,31.64
32.16,56.69,4.45,27.09
37.1,46.41,5.8,32.0
32.43,46.84,4.99,23.4
33.36,56.73,4.43,28.81
35.63,70.29,5.94,36.43
31.54,75.92,6.1,29.71
34.45,43.37,5.52,30.71
36.61,55.72,3.64,32.38
30.79,44.01,5.2,35.85
34.37,40.66,5.79,21.72
34.52,66.47,3.91,32.92
35.56,64.1,4.19,28.66
31.53,46.52,6.15,30.83
31.36,49.35,3.56,35.3
35.04,40.95,5.76,24.03
34.59,73.4,4.92,24.94
34.5,78.99,4.84,20.32
34.69,45.42,3.52,27.25
32.64,49.26,5.96,36.65
34.46,74.74,4.58,29.4
34.59,77.06,5.12,23.3
32.57,56.79,5.53,27.57
37.73,42.02,5.61,22.56
34.95,41.58,6.37,24.37
31.62,62.96,5.09,31.94
35.31,55.72,4.7,24.13
32.05,41.15,6.36,35.56
35.57,63.33,5.43,29.64
36.32,40.45,4.39,30.43
32.36,71.49,3.88,28.61
35.93,52.26,6.03,33.86
34.83,41.61,4.59,33.92
35.64,63.53,5.48,31.68
37.79,55.91,4.91,32.82
33.51,78.95,4.1,28.94
32.49,61.77,5.31,32.71
32.22,51.01,3.68,28.31
32.37,68.38,4.74,30.01
33.85,50.86,5.14,28.63
34.68,76.17,4.81,27.71
34.55,54.99,5.75,26.55
35.65,61.99,5.98,32.34
34.03,42.02,5.81,36.55
36.91,57.04,3.62,35.86
33.47,73.29,4.08,23.72
39.44,72.23,5.11,36.45
35.25,48.97,6.3,28.41
32.29,49.04,6.0,33.0
31.86,72.69,6.03,25.47
34.96,77.22,4.41,30.71
33.55,43.81,4.79,31.57
35.43,58.0,4.91,22.58
34.95,53.5,3.97,33.04
33.85,74.83,3.59,36.73
32.31,43.34,6.34,29.13
30.97,48.45,4.22,36.8
33.11,70.1,4.22,29.05
35.71,42.05,3.75,34.25
34.43,59.7,6.29,18.91
31.51,57.68,5.24,42.09
34.35,53.38,5.5,37.48
34.77,55.78,6.23,28.58
32.23,61.2,4.54,20.14
34.31,46.45,5.36,31.44
34.12,62.88,3.62,22.78
31.71,72.22,4.06,32.22
34.72,70.41,5.99,32.06
35.12,46.16,5.8,25.29
36.17,45.97,4.55,35.6
36.11,50.73,4.63,34.03
31.24,54.44,5.1,34.88
32.12,56.34,3.5,30.04
35.03,67.19,4.22,22.92
35.03,42.27,4.12,34.89
35.03,41.39,4.25,28.65
41.71,55.68,5.92,23.05
35.14,67.89,4.34,36.76
36.27,47.74,4.07,40.5
35.91,65.66,5.01,29.79
35.3,50.39,6.1,40.8
33.37,75.44,4.22,30.46
35.52,75.83,3.74,28.1
32.45,51.89,4.57,26.85
33.53,49.2,5.74,38.19
33.03,56.45,5.15,26.1
34.16,49.62,5.95,33.68
38.63,66.9,6.38,27.2
30.27,73.04,5.88,27.7
35.37,66.92,5.31,35.15
30.77,72.97,4.98,28.1
33.06,55.88,3.62,27.98
36.18,46.25,6.45,35.66
34.13,69.52,4.65,37.99
31.84,54.42,3.96,33.22
32.57,66.85,5.5,26.73
35.36,50.83,4.35,27.45
32.54,43.25,5.26,30.4
34.43,79.7,5.26,31.6
34.09,46.25,4.84,25.06
32.7,79.54,6.01,33.62
38.29,79.09,4.29,30.43
35.27,71.75,4.85,21.42
29.95,66.38,5.11,25.36
34.37,63.11,5.49,27.48
32.68,74.64,5.85,29.64
35.7,51.58,4.68,39.45
32.41,58.71,5.44,31.19
33.77,64.78,3.95,25.8
35.01,56.45,6.3,31.1
35.73,57.1,4.65,28.24
31.6,53.21,5.69,31.62
33.33,62.57,3.56,32.9
33.05,74.02,4.12,36.05
32.69,48.06,4.96,29.88
37.53,77.38,6.13,38.19
34.81,67.56,5.08,34.54
31.48,72.93,6.29,26.46
35.84,62.25,4.95,41.05
38.24,71.18,4.97,31.63
36.06,40.65,3.86,25.82
30.96,72.74,5.91,38.26
33.03,41.61,4.24,40.39
36.53,75.6,6.2,29.83
32.58,79.68,6.23,27.48
34.89,51.76,6.33,29.14
35.55,48.41,5.06,33.57
32.15,70.61,5.53,36.39
33.88,50.12,5.84,32.85
27.52,74.62,3.89,30.51
31.95,44.11,5.3,37.49
33.49,45.04,3.6,28.44
31.5,79.17,4.99,35.15
37.26,66.95,3.96,28.56
31.14,73.88,4.05,32.16
33.12,52.97,4.6,29.43
34.26,67.06,4.8,29.72
36.88,63.77,5.37,28.11
31.13,64.13,3.72,36.72
36.33,67.3,5.01,26.34
34.02,63.01,4.05,26.3
32.04,57.16,5.22,40.6
34.92,51.04,5.41,34.89
34.4,70.74,5.17,18.07
32.8,49.05,5.71,27.17
34.14,67.69,4.51,20.94
33.23,49.33,5.8,25.25
34.23,65.01,4.8,14.31
35.32,69.88,4.95,29.32
37.17,48.75,5.44,24.29
31.52,42.4,3.56,30.3
38.27,45.24,5.46,21.87
30.1,64.24,5.36,30.41
33.7,73.98,4.43,27.93
35.18,41.8,3.76,37.51
34.56,69.37,3.77,37.06
32.75,53.65,6.27,33.93
33.58,59.14,5.57,28.37
33.01,77.15,3.88,39.93
32.82,53.28,4.57,22.23
35.7,58.61,5.28,22.98
34.71,40.55,6.01,29.58
32.61,43.26,3.63,41.27
35.8,50.34,4.21,28.99
34.61,41.11,6.17,29.08
35.63,65.26,3.53,22.79
35.26,57.06,4.1,34.73
32.34,61.93,6.38,34.77
32.88,46.99,5.34,33.95
35.49,51.84,4.29,26.85
35.22,66.55,3.7,26.47
33.96,78.61,3.58,23.53
34.23,42.02,4.23,30.42
36.56,75.62,6.14,24.6
32.82,63.08,4.75,24.11
35.09,62.56,5.66,27.88
33.6,60.01,6.25,27.55
33.56,42.78,4.72,27.31
36.2,43.6,4.07,32.33
35.65,64.04,5.05,30.4
35.63,53.64,6.22,28.56
36.61,76.69,5.91,30.92
34.04,56.26,3.7,25.04
35.36,45.73,5.58,30.53
33.38,68.59,5.22,30.75
34.65,51.73,6.22,22.48
33.74,61.02,3.87,34.98
34.19,67.91,5.1,25.59
35.19,76.01,6.14,30.45
32.36,71.69,4.73,35.82
38.18,67.05,4.95,34.63
31.99,67.19,3.71,30.17
31.57,77.84,4.33,28.19
36.32,51.83,4.47,34.74
35.58,40.04,6.34,33.37
35.25,50.88,4.35,26.91
35.26,48.72,4.88,26.03
33.98,66.47,5.51,19.64
32.21,65.35,3.99,30.77
34.15,63.74,4.96,29.59
32.65,40.65,5.72,35.68
35.95,69.15,6.1,31.8
33.71,52.94,5.38,36.67
32.35,66.6,5.51,26.51
33.36,62.26,3.88,35.69
34.83,53.71,6.34,27.36
32.87,45.38,3.9,33.89
32.36,43.78,5.82,22.71
34.49,73.26,4.29,31.18
34.49,76.74,6.3,20.08
32.99,65.99,5.66,28.66
33.06,44.14,5.76,32.2
34.46,56.08,4.16,27.4
31.1,69.16,4.83,24.75
31.19,71.19,5.35,34.23
32.56,44.73,5.81,29.48
33.57,40.0,3.81,27.55
34.62,68.49,6.39,30.21
36.95,54.26,6.17,43.18
35.72,50.18,4.31,35.77
33.68,40.52,5.97,35.81
33.96,61.61,5.05,32.18
31.99,74.05,4.89,30.83
33.96,78.31,4.44,18.02
33.42,62.63,5.24,26.61
34.65,60.58,5.69,27.6
32.35,43.4,4.73,20.63
35.04,61.95,5.39,24.21
37.07,55.2,5.6,20.1
33.78,64.29,5.63,29.81
34.8,55.55,3.66,34.09
35.38,49.61,6.08,35.53
33.2,43.8,4.87,32.07
34.45,52.6,4.29,25.18
34.03,43.87,4.23,20.34
34.2,47.08,4.95,21.22
32.45,79.49,6.16,23.66
34.05,57.76,4.64,25.56
35.0,61.27,5.75,29.2
36.9,74.94,3.79,24.93
35.92,79.82,4.93,31.69
38.31,63.31,6.48,28.84
32.47,72.5,5.81,30.05
35.74,53.08,4.13,35.7
34.37,52.23,5.0,24.1
38.38,56.11,4.2,32.09
32.38,66.9,4.73,29.93
32.32,67.29,5.84,28.33
32.8,52.61,5.81,34.43
29.75,45.33,4.18,34.4
32.95,65.3,6.27,25.27
32.48,45.13,5.28,29.09
34.3,63.14,4.64,31.41
34.68,67.74,5.01,28.63
37.75,68.02,5.32,32.93
35.9,70.14,5.18,31.41
32.85,74.91,4.96,39.16
32.2,60.0,5.01,22.35
34.98,69.21,4.03,29.39
31.36,64.77,5.94,25.46
37.66,47.47,5.13,33.02
36.36,41.03,3.89,21.91
33.06,51.38,5.8,31.73
30.57,57.72,6.3,26.85
36.71,64.68,6.34,26.33
33.77,74.0,4.61,22.77
36.48,47.85,3.91,27.67
30.81,45.02,5.06,35.42
32.8,78.54,3.84,29.87
34.01,44.32,6.3,33.14
34.09,59.14,4.05,38.32
33.1,63.42,4.26,31.32
35.25,61.65,4.72,27.21
31.86,43.44,4.65,32.34
33.72,42.28,5.88,27.28
34.24,44.22,4.87,27.48
35.03,63.42,4.01,22.4
35.42,61.77,4.3,34.63
31.75,49.35,5.03,28.07
30.93,65.51,3.94,30.91
36.56,72.8,5.33,24.82
34.66,41.66,5.2,32.18
32.5,59.93,5.64,26.19
37.1,67.57,6.31,29.29
34.23,50.09,6.24,34.39
36.36,52.31,6.34,33.95
34.14,64.55,4.23,29.89
38.12,75.92,3.89,21.16
37.51,72.4,4.41,44.96
33.5,63.33,6.19,38.73
35.94,69.21,6.42,33.61
35.29,54.59,6.08,26.23
36.74,65.64,3.83,29.43
32.07,58.65,6.34,27.28
35.37,47.6,4.77,36.32
36.12,68.07,3.53,31.31
30.48,62.26,4.83,26.08
31.63,54.34,3.64,27.65
29.92,76.45,5.13,35.61
33.46,40.84,4.52,38.0
35.44,52.63,4.92,37.64
37.0,42.28,5.34,33.79
34.15,70.66,6.11,28.74
37.26,68.08,5.49,13.79
31.24,53.25,4.8,31.49
30.59,67.03,5.96,29.99
33.89,55.84,6.22,30.7
34.77,70.25,3.86,30.27
33.93,58.17,5.1,23.37
29.87,56.49,4.35,32.79
33.82,77.39,3.64,33.16
31.39,50.04,5.51,33.41
35.34,44.82,6.09,34.73
34.73,63.38,3.99,33.02
32.12,78.77,5.94,27.95
32.97,55.11,6.06,29.65
31.88,42.48,6.24,30.46
33.87,53.57,4.3,30.54
35.91,60.24,6.21,34.99
32.03,46.48,4.46,33.22
35.01,66.32,5.16,40.39
32.94,79.91,3.65,41.03
32.41,58.07,3.63,30.4
33.79,54.19,5.66,10.82
31.93,56.03,4.83,36.18
32.89,44.61,4.27,27.3
31.6,75.33,4.07,25.99
37.93,56.59,5.51,28.01
34.07,55.49,3.5,27.77
32.6,66.39,5.92,33.06
34.43,57.68,3.74,22.2
33.78,65.93,4.07,24.61
33.56,42.46,4.66,31.72
35.23,72.55,4.95,33.11
35.52,77.62,4.56,33.21
32.94,65.95,4.46,26.06
32.85,78.18,6.39,25.11
33.45,46.06,5.42,27.47
29.4,59.1,3.57,31.2
30.97,64.07,4.79,37.43
36.73,63.27,6.13,19.76
37.29,56.06,4.4,28.9
33.5,53.52,3.78,23.34
35.15,45.07,5.78,21.74
34.62,55.67,5.32,34.83
40.16,46.51,5.21,32.72
36.24,69.37,3.66,32.25
33.74,48.35,3.92,34.61
32.09,42.34,5.37,27.6
30.79,62.09,4.12,27.84
34.41,63.81,5.01,40.93
32.49,74.88,5.13,28.77
31.16,63.08,4.35,33.68
32.71,53.82,6.35,30.03
31.84,72.12,6.03,20.76
37.37,61.61,5.67,19.78
35.76,43.17,3.73,27.11
33.98,62.63,3.82,35.28
36.96,76.32,4.98,33.94
34.15,55.85,3.98,34.57
32.28,51.85,6.43,25.06
37.05,45.74,3.98,38.08
35.08,46.06,4.96,25.18
31.93,57.31,4.59,31.06
33.62,63.83,5.42,29.95
32.25,43.22,3.89,29.13
31.23,77.58,4.79,36.69
35.85,70.21,4.32,26.47
37.82,63.46,6.16,23.25
31.2,73.14,3.62,30.1
35.13,43.21,6.24,28.0
32.7,59.07,6.0,46.89
33.03,65.2,4.39,33.38
32.82,73.15,5.87,27.95
32.27,71.34,3.59,24.72
34.1,51.08,6.4,20.6
32.34,77.64,5.08,24.87
34.54,44.97,4.41,30.57
33.9,75.01,4.59,37.14
33.52,78.84,3.7,35.61
32.18,47.09,6.47,31.15
32.85,68.88,3.62,28.38
35.51,41.61,5.46,31.34
35.0,56.22,4.83,27.41
32.04,60.65,6.35,38.59
34.2,63.23,4.24,29.05
35.5,77.44,5.1,29.57
30.66,66.89,4.95,18.92
35.09,59.25,5.61,29.02
32.67,72.39,3.7,34.18
35.14,78.02,4.08,24.66
32.47,40.88,4.14,26.25
30.39,79.3,5.71,33.96
30.74,43.45,4.07,22.62
34.1,72.58,5.22,35.29
34.52,51.21,4.15,27.34
32.19,45.29,6.08,28.06
35.28,57.59,6.33,24.38
30.68,65.76,5.06,31.89
33.87,55.24,4.56,42.3
31.58,42.18,4.2,33.91
32.7,63.98,3.65,25.68
34.09,76.1,4.31,35.68
32.28,55.33,5.46,28.42
33.23,48.65,5.1,36.87
36.01,57.7,6.33,34.03
32.85,41.93,4.69,15.28
35.67,72.82,5.58,24.98
31.74,73.05,4.97,34.72
35.06,63.52,5.04,30.76
36.88,54.12,4.3,24.88
29.06,71.99,4.86,26.83
32.41,62.19,4.91,20.47
35.15,73.04,5.62,29.56
33.59,65.26,6.32,41.05
34.74,71.38,4.49,34.02
32.79,63.94,3.63,40.95
34.17,56.57,4.99,34.41
33.69,78.32,5.13,35.14
36.34,61.64,4.01,39.87
34.51,64.2,5.78,31.89
34.68,48.82,6.45,29.06
33.18,65.03,6.34,35.16
33.02,62.86,4.09,37.27
33.13,47.39,6.13,27.6
34.79,42.38,5.61,26.39
33.16,64.17,4.86,30.69
34.58,70.55,5.12,34.16
38.15,60.94,6.05,33.99
35.74,49.07,4.94,22.88
33.35,66.66,4.62,39.56
36.4,43.2,4.98,26.79
33.18,57.67,5.24,28.67
29.92,46.53,4.07,25.49
31.98,47.38,6.2,43.49
30.26,48.09,5.52,31.21
33.3,55.47,5.4,25.75
34.04,42.05,3.8,34.32
37.35,55.91,5.31,33.85
34.65,60.47,3.86,29.06
33.56,59.33,3.74,34.2
35.66,55.31,5.08,25.87
29.58,73.57,4.71,27.54
34.47,45.81,5.27,19.95
35.54,60.23,3.77,23.38
31.04,42.48,4.79,39.04
36.29,42.85,4.02,38.21
34.68,62.95,6.46,30.33
33.17,62.64,5.18,38.31
35.27,75.12,5.56,29.2
38.54,62.31,4.48,28.78
34.36,78.39,3.78,30.28
34.5,41.95,6.43,29.38
33.08,43.92,4.36,28.92
32.3,41.76,4.77,35.72
35.66,47.41,5.45,30.75
32.29,61.65,3.57,33.56
34.14,65.82,5.93,35.16
33.04,41.82,5.11,31.94
34.96,77.84,4.33,25.15
34.67,73.69,3.68,23.24
36.08,51.86,3.99,30.74
32.98,43.09,6.19,29.14
33.46,46.8,5.56,30.44
32.04,45.08,4.25,29.92
33.11,44.93,3.7,42.92
34.75,60.74,5.57,23.35
35.51,49.83,5.22,20.05
32.16,54.33,4.71,31.66
35.74,79.58,4.59,28.12
36.71,67.37,4.15,31.58
34.83,77.96,5.51,32.92
37.75,45.7,6.41,36.42
32.45,55.29,4.03,22.46
31.51,62.19,5.29,27.22
30.44,43.07,4.77,32.14
36.99,40.17,4.84,33.85
35.31,66.82,4.26,40.97
33.89,65.67,5.98,34.78
34.56,56.43,4.96,29.72
31.75,59.59,5.13,25.55
38.89,56.62,4.41,27.18
34.26,40.96,4.05,27.04
34.22,53.41,3.76,33.28
35.45,47.08,5.64,31.28
34.96,43.94,4.09,23.38
34.45,78.27,5.57,27.82
32.42,63.97,4.67,34.39
34.94,69.15,4.75,31.76
37.76,52.61,4.91,32.84
36.69,55.73,4.6,31.91
37.19,49.48,3.8,38.13
32.98,43.88,4.43,31.18
32.02,47.16,5.49,28.07
33.75,71.9,5.5,25.42
34.11,67.1,4.36,31.25
36.19,61.88,4.88,17.8
30.62,59.0,4.08,29.08
37.06,76.9,4.13,28.97
33.68,42.91,3.57,23.18
33.15,51.22,6.19,25.36
31.98,54.0,4.13,34.05
30.69,71.3,4.18,31.15
35.65,79.7,4.34,30.51
34.15,49.63,3.88,31.53
31.42,74.97,5.42,30.46
31.41,73.22,3.73,36.21
33.33,48.99,3.9,30.62
37.34,55.97,5.43,22.71
33.48,56.39,4.52,38.15
30.99,79.13,5.62,31.85
33.51,47.24,5.17,27.05
33.45,71.97,4.27,23.73
28.61,53.37,5.45,31.98
33.89,69.23,3.85,29.41
33.54,56.8,5.11,37.87
35.39,63.13,4.81,28.27
37.7,73.3,4.3,25.81
36.25,72.17,5.31,34.48
33.46,74.66,6.11,34.63
31.79,42.38,6.5,30.84
39.15,67.68,5.32,33.38
34.12,45.6,4.71,29.81
34.03,56.63,4.18,31.17
33.95,61.94,4.27,35.82
34.4,56.11,4.94,33.13
33.71,60.78,4.6,29.15
32.85,79.86,6.24,36.76
32.91,45.41,4.6,18.18
33.93,67.02,4.62,40.26
32.91,55.84,4.65,21.47
32.57,45.32,6.01,26.86
34.21,46.35,5.45,29.8
33.49,77.97,5.34,29.27
37.01,75.18,4.5,35.03
28.7,76.28,5.95,24.71
36.18,79.66,3.62,31.3
36.49,48.33,6.11,27.11
29.85,54.22,5.04,31.48
33.31,66.77,4.69,29.68
33.26,59.35,4.99,30.46
31.18,56.74,5.5,27.25
32.44,54.31,3.54,27.45
31.78,63.75,6.11,31.44
37.5,63.02,4.84,34.72
35.87,46.46,4.53,27.01
36.54,58.87,3.91,25.66
35.44,62.14,4.82,33.07
31.74,62.81,4.99,29.84
32.95,48.4,4.71,34.15
34.98,69.69,5.54,25.47
31.56,41.01,4.76,21.1
35.43,54.19,6.38,27.33
33.52,71.21,5.3,26.17
33.25,62.56,5.92,29.61
35.42,50.45,3.83,26.82
34.89,67.8,4.69,33.71
33.28,62.7,4.51,28.56
36.32,71.85,5.21,30.75
31.84,69.4,6.08,30.79
35.23,64.4,3.74,30.97
35.19,59.53,3.72,29.88
33.38,45.33,6.05,32.55
34.65,50.45,4.14,26.02
31.5,56.76,5.51,37.0
35.85,63.97,5.13,28.82
33.63,60.55,6.0,23.44
32.95,51.53,3.88,30.94
36.1,40.26,3.89,25.74
32.59,59.85,5.17,33.33
31.18,51.43,6.34,41.05
30.89,69.38,4.74,26.07
35.21,40.96,4.48,31.66
31.44,63.39,5.32,21.22
37.51,77.66,6.29,32.27
29.84,46.98,6.01,25.57
37.39,58.87,6.49,26.88
34.42,43.66,3.57,24.49
33.81,65.03,3.84,33.66
32.91,62.02,5.33,35.04
34.8,56.29,5.96,30.12
33.92,60.86,4.36,25.68
36.21,75.86,4.22,37.95
34.23,47.85,5.86,26.25
34.3,40.9,3.67,19.19
33.27,74.47,4.61,32.29
33.89,63.08,5.02,24.48
34.62,75.63,5.18,34.94
30.58,63.88,5.69,28.09
31.3,72.41,4.56,33.02
35.49,57.19,5.34,37.01
34.34,69.99,5.26,23.96
33.63,76.52,5.14,27.17
34.04,62.88,5.42,29.62
34.7,47.23,4.28,37.69
32.92,50.75,3.75,26.71
32.44,47.95,3.86,27.03
34.39,49.87,4.17,32.39
32.04,52.26,5.0,27.11
34.82,62.21,6.02,30.76
30.59,63.52,5.6,22.24
36.06,57.06,5.87,41.07
34.95,64.62,4.55,23.26
34.51,43.26,4.71,28.39
35.97,43.51,4.68,29.84
37.33,46.87,4.08,39.56
36.03,60.72,3.68,23.38
30.32,48.56,5.27,39.92
31.44,51.33,6.47,33.79
32.75,56.01,4.0,32.09
34.05,72.47,3.64,25.08
35.04,40.55,5.84,32.86
32.55,65.98,4.26,26.38
34.37,66.76,5.99,36.33
32.49,71.95,5.61,25.14
32.78,77.31,6.34,29.43
31.19,40.81,4.73,27.22
32.15,46.15,5.49,25.06
31.3,75.45,4.89,33.71
32.05,58.34,5.39,32.68
36.11,62.58,4.85,36.05
32.1,66.52,4.07,21.1
39.26,67.16,5.02,35.32
34.99,77.27,5.09,42.53
34.37,79.88,5.93,27.74
32.28,68.81,5.71,39.48
35.4,51.49,5.49,28.68
32.85,75.19,3.84,23.14
34.24,41.97,5.66,28.47
39.12,49.24,5.0,35.24
33.81,75.9,6.18,25.81
36.3,50.25,6.26,27.0
32.59,48.83,3.67,32.97
33.93,45.53,5.96,30.02
37.54,74.36,3.61,32.92
32.75,60.0,4.6,31.19
37.62,67.0,5.13,32.4
35.42,49.56,3.94,27.84
32.88,70.32,5.74,31.16
35.26,70.4,3.53,25.36
35.95,52.5,4.01,36.44
35.24,56.43,5.24,26.83
30.86,48.39,5.64,35.64
32.55,79.06,6.25,28.83
33.5,65.82,5.62,31.01
33.85,77.38,5.52,27.53
35.24,52.14,4.68,24.92
34.36,71.28,3.5,21.28
31.33,70.63,3.86,24.72
34.76,67.67,5.1,28.38
35.22,78.63,5.53,31.06
35.12,55.74,4.75,35.05
36.16,45.23,5.69,27.77
35.67,66.87,5.07,25.59
34.92,69.17,3.72,22.79
33.86,63.0,4.08,32.4
30.68,48.27,6.02,36.92
34.86,60.18,5.67,36.33
34.42,52.49,6.18,33.55
34.54,57.1,3.85,33.19
31.45,65.81,6.47,38.49
31.84,69.81,4.13,31.66
36.11,49.29,3.54,33.23
33.92,56.21,6.49,28.4
35.36,50.77,4.34,23.19
34.06,47.95,5.5,26.58
34.06,71.34,4.03,29.95
35.88,76.37,5.24,30.3
32.97,54.81,6.21,39.63
34.19,70.05,4.46,30.41
33.08,75.88,5.51,35.89
33.13,73.84,4.06,27.82
33.38,47.31,5.37,28.44
34.44,78.25,4.51,23.35
33.04,55.07,4.13,26.29
36.51,53.57,4.44,32.63
32.21,42.5,4.04,30.04
33.63,59.45,6.21,34.71
33.12,44.36,4.69,30.91
36.89,49.94,4.24,28.24
34.39,52.68,4.85,40.74
36.06,72.35,4.46,29.53
31.03,75.02,5.73,35.82
34.53,52.1,6.41,27.99
35.78,74.35,4.81,33.55
34.16,74.29,6.08,34.64
36.13,70.59,5.2,31.04
32.97,45.87,3.97,18.23
36.82,67.61,5.57,30.09
38.6,77.8,5.04,36.15
33.27,67.3,5.45,32.64
33.11,53.26,6.17,32.23
36.91,60.02,4.82,21.39
37.16,65.83,6.2,26.4
32.95,60.42,5.75,32.06
33.16,44.8,4.97,32.05
33.44,52.48,5.31,36.07
31.31,72.1,4.48,29.28
32.16,74.46,6.45,32.03
31.99,45.49,5.5,30.08
32.46,78.1,3.63,25.07
33.93,53.15,4.48,18.72
34.47,66.49,5.37,32.16
37.1,70.07,3.67,30.87
32.0,72.48,3.57,26.91
35.97,77.83,4.85,21.9
33.57,52.52,4.5,33.15
33.9,74.34,4.81,28.67
35.35,45.27,4.29,32.78
31.75,68.2,3.99,39.32
34.76,69.68,5.57,19.29
34.33,67.11,5.04,26.5
34.98,50.09,4.1,28.95
34.58,74.92,4.46,37.27
38.91,46.75,5.28,21.82
32.72,42.15,3.72,39.68
32.94,68.7,3.94,30.68
32.75,59.02,3.72,29.52
32.89,73.96,5.94,29.01
32.73,55.34,5.76,27.82
36.38,46.73,5.76,35.24
36.84,73.46,5.65,24.66
32.86,61.96,5.51,31.73
32.34,47.57,4.93,28.08
34.94,68.82,5.43,26.19
32.9,60.44,3.62,42.93
35.27,64.17,5.36,32.1
34.41,58.44,5.83,33.07
30.97,73.15,5.0,35.69
37.1,73.18,4.57,22.89
37.59,68.38,4.33,38.76
32.77,44.22,5.43,17.46
33.22,73.55,5.58,26.16
34.57,66.84,6.11,27.7
34.67,67.88,4.53,32.91
35.32,54.52,5.81,31.09
38.02,75.17,5.18,29.17
33.65,69.01,6.15,29.94
